appid,review,voted_up,timestamp_created,playtime_forever,num_reviews
1903340,"It's been a few years since I’ve felt compelled to write a game review, but I felt the need to do so after Clair Obscur: Expedition 33 became one of my favorite video games of all time. My only regret in playing this game is that it may have actually ruined video games for me because of how much better it is compared to most other games. 

I’m just echoing most players when I praise the story, the music, and the hybrid turn-based/real-time gameplay. As a fan of FF10’s gameplay, Expedition 33 scratched that itch that studios don’t release too often anymore. I adored the turn-based combat system while mixing in real-time mechanics for dodging/parrying. The timing for the parrying system can be challenging at first, but you’ll get the hang of it in time and the game rewards you for mastering this skill. As for the music, just spend a couple minutes on the main menu screen and you’ll understand. What surprised me was how many musical genres were present in this game and how well it all worked together. And then there’s the story. I can count on one hand how many story narratives (whether it was a movie, a video game, a book, etc.) that actually moved me to tears. Expedition 33 is one of them. There’s a lot I could discuss here, but I’ll just mention this: I love how Expedition 33 manages to create plenty of light and comedic moments in an otherwise dark and bleak world. One of my pet peeves in JRPGs is the overuse of fantasy races that primarily serve as comic relief (such as the Nopon from the Xenoblade series). The Gestrals, however, provide hilarious moments without being too out-of-place with the added bonus that their humor actually contributes to the narrative in a meaningful way.

I do have a couple critiques for the game though. The first one being menu navigation when accessing pictos, skills, etc. It can certainly feel a bit clunky especially when you’re in the late game and you have so many pictos to select from. As for gameplay, it can be quite easy to be overleveled for the final boss which results in the player just demolishing this fight, but a quick fix for this would be to unequip the ability that removes your 9999-damage cap. For the most part, these issues didn’t really bother me too much.

After 69 hours of playing Expedition 33, I can safely say that this game holds a special place in my heart, and I won’t soon forget it. In time, I will give this game another playthrough in NG+ and try to pick up on all the foreshadowing that I missed throughout my first playthrough. What an incredible debut from Sandfall Interactive and I look forward to seeing what they develop next!",True,1760824292,4146,1
1903340,"What a fantastic game, holy shit.

Easily the best game I have ever played, and I have played a great many. The gameplay is fun, the graphics astonishingly pretty, the music hauntingly beautiful, and the story in itself easily rivals any other ever told in any medium, filled with characters that you will know, love, and relate to.",True,1760823703,4309,40
1903340,"Buy this game, i dont care if you want to, you need to buy it",True,1760823146,1113,15
1903340,"Expedition 33 deserves all of it's love and praise. From the angelic sound-track, breathtaking world-design, well-written story, and real-time turn-based combat; all handcrafted with insane amounts of passion behind it. The game didn't require any artificial hype pushing it to succeed, it was naturally generated from simply doing the right things, and Sandfall caring about they put out. What kind of developers release FREE additional late-game content to a fully finished game that's already sold over 5 million copies?? Ones that [b] love [/b] their game and the community they built, power to good studios. 

Playing through the game to its fullest completion, im left stunned at how an unknown studio was able to produce such a masterpiece in an already dominated genre. I would be [b] UTTERLY [/b] surprised if they aren't a Game of the Year nominee.",True,1760821207,7092,8
1903340,One of the best games I've ever played! :'),True,1760820888,4918,13
1903340,"Mind-blowingly good game.
Worth every bit of tenge I paid for it.
You should buy it too.",True,1760820807,1822,17
1903340,"Music 10/10
Story 10/10
Gameplay 8/10
Game of the year?",True,1760819496,2246,4
1903340,"This game is a work of art. Clearly the result of a passionate team, it excels in story, pacing, music and gameplay. I thoroughly enjoyed every aspect.",True,1760819237,2711,14
1903340,Game that make you feel Wheeeee! and then  Whooo. and again  Wheeeee! and so on Whooo.,True,1760819106,6591,15
1903340,"I don't usually write reviews but this game is a masterpiece. It's been so long since I've played a game I'd rate a 10/10. It has a powerful storyline, great voice acting, beautiful worlds, creative character design, and an AMAZING soundtrack. Do not hesitate to play this game.",True,1760818941,2047,1
